freq (Hz),out (A/sqrt(Hz))
11.4815E6,47.8973E-12
12.0226E6,47.1837E-12
12.5893E6,46.5454E-12
13.1826E6,45.9755E-12
13.8038E6,45.4672E-12
14.4544E6,45.0136E-12
15.1356E6,44.6077E-12
15.8489E6,44.2434E-12
16.5959E6,43.9147E-12
17.3780E6,43.6161E-12
18.1970E6,43.3429E-12
19.0546E6,43.0906E-12
19.9526E6,42.8554E-12
20.8930E6,42.6338E-12
21.8776E6,42.4229E-12
22.9087E6,42.2199E-12
23.9883E6,42.0226E-12
25.1189E6,41.8289E-12
26.3027E6,41.6370E-12
27.5423E6,41.4453E-12
28.8403E6,41.2524E-12
30.1995E6,41.0571E-12
31.6228E6,40.8583E-12
33.1131E6,40.6550E-12
34.6737E6,40.4464E-12
36.3078E6,40.2318E-12
38.0189E6,40.0106E-12
39.8107E6,39.7824E-12
41.6869E6,39.5467E-12
43.6516E6,39.3035E-12
45.7088E6,39.0524E-12
47.8630E6,38.7937E-12
50.1187E6,38.5275E-12
52.4807E6,38.2540E-12
54.9541E6,37.9738E-12
57.5440E6,37.6873E-12
60.2560E6,37.3952E-12
63.0957E6,37.0984E-12
66.0693E6,36.7978E-12
69.1831E6,36.4943E-12
72.4436E6,36.1891E-12
75.8578E6,35.8832E-12
79.4328E6,35.5779E-12
83.1764E6,35.2743E-12
87.0964E6,34.9735E-12
91.2011E6,34.6768E-12
95.4993E6,34.3852E-12
100.000E6,34.0997E-12
104.713E6,33.8212E-12
109.648E6,33.5507E-12
114.815E6,33.2888E-12
120.226E6,33.0362E-12
125.893E6,32.7935E-12
131.826E6,32.5610E-12
138.038E6,32.3390E-12
144.544E6,32.1279E-12
151.356E6,31.9275E-12
158.489E6,31.7381E-12
165.959E6,31.5595E-12
173.780E6,31.3915E-12
181.970E6,31.2341E-12
190.546E6,31.0869E-12
199.526E6,30.9497E-12
208.930E6,30.8223E-12
218.776E6,30.7041E-12
229.087E6,30.5950E-12
239.883E6,30.4946E-12
251.189E6,30.4026E-12
263.027E6,30.3186E-12
275.423E6,30.2424E-12
288.403E6,30.1736E-12
301.995E6,30.1121E-12
316.228E6,30.0576E-12
331.131E6,30.0100E-12
346.737E6,29.9692E-12
363.078E6,29.9352E-12
380.189E6,29.9080E-12
398.107E6,29.8879E-12
416.869E6,29.8751E-12
436.516E6,29.8700E-12
457.088E6,29.8734E-12
478.630E6,29.8862E-12
501.187E6,29.9098E-12
524.807E6,29.9460E-12
549.541E6,29.9976E-12
575.440E6,30.0681E-12
602.560E6,30.1633E-12
630.957E6,30.2912E-12
660.693E6,30.4642E-12
691.831E6,30.7022E-12
724.436E6,31.0371E-12
758.578E6,31.5224E-12
794.328E6,32.2477E-12
831.764E6,33.3504E-12
870.964E6,34.9495E-12
912.011E6,36.6945E-12
954.993E6,37.0134E-12
1.00000E9,35.1467E-12
1.04713E9,32.9650E-12
1.09648E9,31.5179E-12
1.14815E9,30.6895E-12
1.20226E9,30.2220E-12
1.25893E9,29.9527E-12
1.31826E9,29.7941E-12
1.38038E9,29.6990E-12
1.44544E9,29.6409E-12
1.51356E9,29.6042E-12
1.58489E9,29.5791E-12
1.65959E9,29.5592E-12
1.73780E9,29.5396E-12
1.81970E9,29.5169E-12
1.90546E9,29.4882E-12
1.99526E9,29.4509E-12
2.08930E9,29.4026E-12
2.18776E9,29.3411E-12
2.29087E9,29.2640E-12
2.39883E9,29.1695E-12
2.51189E9,29.0556E-12
2.63027E9,28.9213E-12
2.75423E9,28.7662E-12
2.88403E9,28.5908E-12
3.01995E9,28.3970E-12
3.16228E9,28.1878E-12
3.31131E9,27.9672E-12
3.46737E9,27.7402E-12
3.63078E9,27.5118E-12
3.80189E9,27.2873E-12
3.98107E9,27.0714E-12
4.16869E9,26.8686E-12
4.36516E9,26.6826E-12
4.57088E9,26.5165E-12
4.78630E9,26.3731E-12
5.01187E9,26.2551E-12
5.24807E9,26.1651E-12
5.49541E9,26.1056E-12
5.75440E9,26.0787E-12
6.02560E9,26.0855E-12
6.30957E9,26.1246E-12
6.60693E9,26.1909E-12
6.91831E9,26.2736E-12
7.24436E9,26.3570E-12
7.58578E9,26.4230E-12
7.94328E9,26.4563E-12
8.31764E9,26.4491E-12
8.70964E9,26.4032E-12
9.12011E9,26.3283E-12
9.54993E9,26.2380E-12
10.0000E9,26.1474E-12
