freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
2.18776E6,400.567E-15
2.29087E6,400.567E-15
2.39883E6,400.566E-15
2.51189E6,400.565E-15
2.63027E6,400.565E-15
2.75423E6,400.564E-15
2.88403E6,400.563E-15
3.01995E6,400.562E-15
3.16228E6,400.561E-15
3.31131E6,400.560E-15
3.46737E6,400.559E-15
3.63078E6,400.557E-15
3.80189E6,400.556E-15
3.98107E6,400.554E-15
4.16869E6,400.552E-15
4.36516E6,400.550E-15
4.57088E6,400.548E-15
4.78630E6,400.546E-15
5.01187E6,400.543E-15
5.24807E6,400.540E-15
5.49541E6,400.537E-15
5.75440E6,400.533E-15
6.02560E6,400.529E-15
6.30957E6,400.525E-15
6.60693E6,400.520E-15
6.91831E6,400.515E-15
7.24436E6,400.509E-15
7.58578E6,400.503E-15
7.94328E6,400.496E-15
8.31764E6,400.488E-15
8.70964E6,400.480E-15
9.12011E6,400.471E-15
9.54993E6,400.460E-15
10.0000E6,400.449E-15
10.4713E6,400.437E-15
10.9648E6,400.423E-15
11.4815E6,400.408E-15
12.0226E6,400.391E-15
12.5893E6,400.373E-15
13.1826E6,400.353E-15
13.8038E6,400.331E-15
14.4544E6,400.307E-15
15.1356E6,400.281E-15
15.8489E6,400.251E-15
16.5959E6,400.220E-15
17.3780E6,400.185E-15
18.1970E6,400.146E-15
19.0546E6,400.104E-15
19.9526E6,400.058E-15
20.8930E6,400.008E-15
21.8776E6,399.952E-15
22.9087E6,399.892E-15
23.9883E6,399.825E-15
25.1189E6,399.752E-15
26.3027E6,399.673E-15
27.5423E6,399.586E-15
28.8403E6,399.490E-15
30.1995E6,399.386E-15
31.6228E6,399.272E-15
33.1131E6,399.147E-15
34.6737E6,399.010E-15
36.3078E6,398.861E-15
38.0189E6,398.698E-15
39.8107E6,398.520E-15
41.6869E6,398.326E-15
43.6516E6,398.114E-15
45.7088E6,397.883E-15
47.8630E6,397.631E-15
50.1187E6,397.356E-15
52.4807E6,397.056E-15
54.9541E6,396.730E-15
57.5440E6,396.374E-15
60.2560E6,395.988E-15
63.0957E6,395.568E-15
66.0693E6,395.111E-15
69.1831E6,394.615E-15
72.4436E6,394.077E-15
75.8578E6,393.493E-15
79.4328E6,392.860E-15
83.1764E6,392.175E-15
87.0964E6,391.434E-15
91.2011E6,390.633E-15
95.4993E6,389.768E-15
100.000E6,388.835E-15
104.713E6,387.830E-15
109.648E6,386.748E-15
114.815E6,385.586E-15
120.226E6,384.339E-15
125.893E6,383.003E-15
131.826E6,381.573E-15
138.038E6,380.047E-15
144.544E6,378.420E-15
151.356E6,376.689E-15
158.489E6,374.852E-15
165.959E6,372.906E-15
173.780E6,370.849E-15
181.970E6,368.680E-15
190.546E6,366.398E-15
199.526E6,364.004E-15
208.930E6,361.499E-15
218.776E6,358.884E-15
229.087E6,356.161E-15
239.883E6,353.335E-15
251.189E6,350.409E-15
263.027E6,347.387E-15
275.423E6,344.275E-15
288.403E6,341.077E-15
301.995E6,337.801E-15
316.228E6,334.452E-15
331.131E6,331.036E-15
346.737E6,327.559E-15
363.078E6,324.027E-15
380.189E6,320.447E-15
398.107E6,316.824E-15
416.869E6,313.162E-15
436.516E6,309.467E-15
457.088E6,305.743E-15
478.630E6,301.993E-15
501.187E6,298.222E-15
524.807E6,294.434E-15
549.541E6,290.630E-15
575.440E6,286.814E-15
602.560E6,282.989E-15
630.957E6,279.158E-15
660.693E6,275.324E-15
691.831E6,271.490E-15
724.436E6,267.658E-15
758.578E6,263.833E-15
794.328E6,260.017E-15
831.764E6,256.214E-15
870.964E6,252.427E-15
912.011E6,248.660E-15
954.993E6,244.914E-15
1.00000E9,241.194E-15
1.04713E9,237.501E-15
1.09648E9,233.837E-15
1.14815E9,230.203E-15
1.20226E9,226.600E-15
1.25893E9,223.027E-15
1.31826E9,219.484E-15
1.38038E9,215.970E-15
1.44544E9,212.480E-15
1.51356E9,209.014E-15
1.58489E9,205.566E-15
1.65959E9,202.133E-15
1.73780E9,198.709E-15
1.81970E9,195.289E-15
1.90546E9,191.868E-15
1.99526E9,188.441E-15
2.08930E9,185.000E-15
2.18776E9,181.542E-15
2.29087E9,178.060E-15
2.39883E9,174.550E-15
2.51189E9,171.006E-15
